14/11/2018	05/06/2018	162	India	United States of America		2				47650
14/11/2018	07/07/2018	130	India	India	Ottawa	2	23/07/2018	114		49850
14/11/2018	13/07/2018	124	Pakistan	Pakistan	Kyiv	1	31/07/2018	106		50501
14/11/2018	24/07/2018	113	Sri Lanka	Sri Lanka	Ottawa	2				51397
14/11/2018	09/07/2018	128	Nigeria	Nigeria	Ottawa	4	25/07/2018	112		51470
14/11/2018	12/06/2018	155	India	United States of America	Ottawa	2				51494
14/11/2018	07/08/2018	99	India	India	Ottawa	3				52524
14/11/2018	12/07/2018	125	India	India	Ottawa	1	06/09/2018	69		53249
14/11/2018	14/08/2018	92	India	India	Ottawa	3				53251
14/11/2018	31/07/2018	106	Brazil	Brazil	Ottawa	2				53707
14/11/2018	23/08/2018	83	India	United Arab Emirates	London	4				54248
14/11/2018	23/07/2018	114	South Africa	South Africa	Ottawa	1				56586
14/11/2018	16/08/2018	90	India	India	Ottawa	3				56801
14/11/2018	29/08/2018	77	Sri Lanka	Sri Lanka		4				59698
14/11/2018	12/07/2018	125	India	India	New Delhi	3				61295
15/11/2018	02/12/2017	348	China	China	Ottawa	2			05/01/2018	35607
15/11/2018	16/12/2017	334	Pakistan	Pakistan	Ottawa	4	26/01/2018	293	30/01/2018	36094
15/11/2018	22/05/2018	177	Sri Lanka	Sri Lanka		2				48954
15/11/2018	30/06/2018	138	Brazil	Brazil	Ottawa	2				49454
15/11/2018	06/07/2018	132	Russian Federation	Russian Federation		2				49868
15/11/2018	07/07/2018	131	Nepal	United States of America		1	02/11/2018	13		49932
15/11/2018	10/07/2018	128	Nigeria	Nigeria		3				50261
15/11/2018	09/07/2018	129	South Africa	South Africa	Ottawa	4	28/09/2018	48		50356
15/11/2018	17/07/2018	121	Russian Federation	Russian Federation		2				51074
15/11/2018	09/07/2018	129	India	India	Ottawa	3				51082
15/11/2018	23/07/2018	115	Viet Nam	Singapore		2				51308
15/11/2018	19/07/2018	119	India	India	Ottawa	3	08/08/2018	99		52091
15/11/2018	22/07/2018	116	India	India	Ottawa	1				52457
15/11/2018	04/08/2018	103	India	India	Ottawa	2				52489
15/11/2018	25/07/2018	113	Turkey	United States of America	Ottawa	2	16/08/2018	91		52521
15/11/2018	17/08/2018	90	Zimbabwe	Zimbabwe		1	13/09/2018	63		53693
15/11/2018	16/08/2018	91	India	India		3				54042
15/11/2018	16/08/2018	91	India	India		3				54042
15/11/2018	13/07/2018	125	India	India		1				54471
15/11/2018	08/09/2018	68	Germany	United Kingdom of Great Britain and Northern Ireland		3				55265
15/11/2018	17/08/2018	90	India	India		3				55471
15/11/2018	06/06/2018	162	India	India		2	11/10/2018	35		55899
15/11/2018	12/07/2018	126	India	India		2	31/07/2018	107		56127
15/11/2018	20/09/2018	56	Nigeria	Nigeria		3	02/11/2018	13		56899
15/11/2018	11/08/2018	96	India	India		2				57606
15/11/2018	23/07/2018	115	India	India	Ottawa	2				58116
